alpha_2_code,country,url,filename,query,language,is_pdf,is_translated,is_downloaded,char_number,Is Processed,Comments,Snippet
SK,Slovakia,https://docs.google.com/spreadsheets/d/1fINJWmJ8mA6TIi4oW5Y8cyPG4XzNdS8XSybfimg-49U/edit#gid=1697042947,Slovakia-en-result-300-original,N/A,en,FALSE,FALSE,TRUE,,yes,Manually extracted information from differnet sources,
CZ,Czechia,https://docs.google.com/spreadsheets/d/1fINJWmJ8mA6TIi4oW5Y8cyPG4XzNdS8XSybfimg-49U/edit#gid=1697042947,Czechia-en-result-300-original,N/A,en,FALSE,FALSE,TRUE,,yes,Manually extracted information from differnet sources,
AL,Albania,https://www.valbonanathanaili.com/category/akademia/,Albania-en-result-300-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"The BCG vaccine (Bacillus Calmette-Guerin), known worldwide and since 1967/68 applied in Albania, as well as in other European countries, has been used in the fight against tuberculosis (TB). "
AL,Albania,http://www.ishp.gov.al/multimedia/KALENDARET%20E%20VAKSINIMIT%20NDER%20VITE_qe%20nga%202000_17.pdf,Albania-en-result-301-translated,N/A,en,TRUE,FALSE,TRUE,,yes,,Vaccination calendar for children born before 2000 - (revactionation for 6 year old since 2000)
AU,Australia,https://www.rch.org.au/kidsinfo/fact_sheets/BCG_vaccine_for_TB/,Australia-en-result-300-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"Because TB is not common in Australia, the BCG vaccine is not part of the routine vaccination schedule. However, the vaccine is recommended in some circumstances, such as travel to certain countries. "
BR,Brazil,http://bvsms.saude.gov.br/bvs/publicacoes/manual_procedimentos_vacinacao.pdf ,Brazil-en-result-301-transalted,N/A,en,FALSE,FALSE,TRUE,,yes,Info about BCG on pages 69-73: ,"The vaccine is prepared with live Mycobacterium bovis, attenuated with
sodium glutamate. The substrain used in Brazil is Moureau-Rio de Janeiro, maintained under a
seed lot at the Status Serum Institut in Copenhagen, Denmark."
BG,Bulgaria,http://ebox.nbu.bg/med14/view_lesson.php?id=43,Bulgaria-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"In Bulgaria, Dr. Srebra Rodopska, who specializes in the Louis Pasteur Institute, begins the production of the Bulgarian BCG vaccine in a established BCG laboratory within the NCIPD. Bulgaria started production of its own vaccine using the Moscow vaccine sub-strain 374 A. After testing in WHO Reference Laboratories in Geneva, Canada and the USA, the Bulgarian vaccine is applied in North and South America and Southeast Asia. One of the world's largest producers is BUL BIO-NCIPD. The BCG vaccine, which is produced in our country, is known as the BCG SofiaSL 222 vaccine strain."
CA,Canada,https://www.canada.ca/en/public-health/services/publications/healthy-living/canadian-immunization-guide-part-4-active-vaccines/page-2-bacille-calmette-guerin-vaccine.html#a3,Canada-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"BCG vaccine is not recommended for routine use in any Canadian population. In Canada, many Aboriginal Canadians and persons born in Quebec and Newfoundland and Labrador from the 1940s until the late 1970s were vaccinated. According to the Canadian government website, RECCOMENDED immunization with BCG is only done in NU province (Nunavut), after birth. / The specific strain used: Live, attenuated Bacille Calmette-Guérin vaccine derived from Mycobacterium bovis (Connaught substrain)), sanofi pasteur Ltd. (BCG) /"
CA,Canada,https://gov.nu.ca/sites/default/files/nunavut_routine_childhood_immunization_schedule_19dec2017.pdf,Canada-en-result-302-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
CN,China,https://www.ncbi.nlm.nih.gov/pubmed/6813052,China-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
